chembl_id,shape_tanimoto,o3a_score,planarity,heavy_atoms,aromatic_rings,fused_rings,name
CHEMBL100116,0.4879,74.21,0.939,21,1,2,PENTAZOCINE
CHEMBL1200328,0.4878,,1.028,22,3,1,DULOXETINE HYDROCHLORIDE
CHEMBL1289926,0.4871,104.39,1.134,28,4,1,AXITINIB
CHEMBL924,0.487,80.49,0.908,16,1,0,ZOLEDRONIC ACID ANHYDROUS
CHEMBL290106,0.4863,73.47,0.858,19,2,0,BITHIONOL
CHEMBL1201342,0.4857,84.62,0.973,22,2,2,METHIXENE
CHEMBL1628502,0.4854,90.03,0.732,23,0,0,GABAPENTIN ENACARBIL
CHEMBL1055,0.4854,90.16,1.036,22,2,1,CHLORTHALIDONE
CHEMBL488093,0.4854,85.5,0.909,24,2,0,PYRITINOL
CHEMBL127,0.4849,87.92,0.809,26,0,1,MEROPENEM
CHEMBL1200595,0.4843,,0.574,13,1,0,CHLORPHENTERMINE HYDROCHLORIDE
CHEMBL1477274,0.4841,,0.838,18,1,0,MEPTAZINOL HYDROCHLORIDE
CHEMBL4105630,0.4841,99.05,1.058,30,1,3,ZURANOLONE
CHEMBL220492,0.4837,92.16,0.853,22,0,2,TOPIRAMATE
CHEMBL4297528,0.4829,106.06,0.359,30,4,2,RISDIPLAM
CHEMBL799,0.4829,88.86,0.79,27,2,1,CILOSTAZOL
CHEMBL1106,0.4821,93.9,0.626,19,2,3,EPINASTINE
CHEMBL1200751,0.4821,67.93,0.003,11,2,1,MERCAPTOPURINE
CHEMBL190461,0.4814,85.4,0.976,23,1,0,CANNABIDIOL
CHEMBL1518,0.4809,73.1,0.414,11,1,0,PROPYLTHIOURACIL
CHEMBL1201329,0.4804,89.2,1.136,26,2,2,TRIMETHAPHAN
CHEMBL1201340,0.4803,77.08,0.899,21,2,0,DIPHEMANIL
CHEMBL1082407,0.4788,104.28,1.025,32,2,0,ENZALUTAMIDE
CHEMBL483254,0.4786,98.5,0.884,26,3,1,PANOBINOSTAT
CHEMBL1201286,0.4783,95.35,0.985,25,1,0,OXYPHENONIUM
CHEMBL7413,0.4783,91.62,1.082,19,0,0,METHOHEXITAL
